customer_id,customer_name,customer_type,segment,city,region
1,Филипп Елизарович Воробьев,Физическое лицо,B2C,Казань,Приволжский
2,Василиса Макаровна Смирнова,Физическое лицо,B2C,Сочи,Южный
3,Филарет Харлампьевич Власов,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
4,Шаров Евлампий Анисимович,Физическое лицо,B2B,Нижний Новгород,Центральный
5,Ильина Нина Леоновна,Физическое лицо,B2C,Екатеринбург,Уральский
6,Максимов Лимитед,Юридическое лицо,B2C,Нижний Новгород,Центральный
7,Наина Натановна Уварова,Физическое лицо,B2C,Москва,Центральный
8,Бронислав Ильич Орлов,Физическое лицо,B2C,Новосибирск,Сибирский
9,Якушев Парамон Эдгарович,Физическое лицо,B2C,Владивосток,Дальневосточный
10,Гремислав Ефимович Кабанов,Физическое лицо,B2C,Краснодар,Южный
11,Остромир Бориславович Устинов,Физическое лицо,B2C,Краснодар,Южный
12,Нонна Кузьминична Данилова,Физическое лицо,B2C,Казань,Приволжский
13,Лора Игоревна Суханова,Физическое лицо,B2C,Калининград,Северо-Западный
14,Тетерин Измаил Трифонович,Физическое лицо,B2C,Санкт-Петербург,Северо-Западный
15,Светлана Юрьевна Третьякова,Физическое лицо,B2C,Нижний Новгород,Центральный
16,Блохин Радим Харлампович,Физическое лицо,B2C,Владивосток,Дальневосточный
17,ОАО «Яковлева-Дорофеев»,Юридическое лицо,B2C,Владивосток,Дальневосточный
18,Данилова Анжела Матвеевна,Физическое лицо,B2B,Казань,Приволжский
19,Мстислав Ефимович Владимиров,Физическое лицо,B2C,Казань,Приволжский
20,"РАО «Максимов, Фадеева и Захарова»",Юридическое лицо,B2C,Владивосток,Дальневосточный
21,Пестов Владислав Валерьевич,Физическое лицо,B2B,Санкт-Петербург,Северо-Западный
22,Синклитикия Егоровна Филиппова,Физическое лицо,B2B,Казань,Приволжский
23,ООО «Герасимов Ситников»,Юридическое лицо,B2C,Краснодар,Южный
24,"ООО «Ларионов, Крюков и Нестерова»",Юридическое лицо,B2C,Санкт-Петербург,Северо-Западный
25,Евгения Алексеевна Антонова,Физическое лицо,B2B,Новосибирск,Сибирский
26,НПО «Борисов»,Юридическое лицо,B2B,Калининград,Северо-Западный
27,Виктория Аскольдовна Артемьева,Физическое лицо,B2C,Краснодар,Южный
