shipment_id,sale_id,origin_store_id,destination_address,transport_mode,carrier,departure_date,arrival_date,status,distance,cost
1,1,9,"с. Брянск, наб. Специалистов, д. 615, 518360",Грузовик,ЭкспрессДоставка,2023-08-12 00:25:00,2023-08-13 00:25:00,Доставлено,162,184.73
2,2,9,"п. Гремячинск (Перм.), алл. Короленко, д. 6/8 стр. 1, 758030",Грузовик,ТрансЛогистик,2023-01-29 07:53:00,2023-01-30 03:53:00,Доставлено,375,597.33
3,3,4,"п. Оса, бул. Дружбы, д. 82 стр. 6/6, 060452",Морской,ТрансЛогистик,2023-02-08 07:42:00,2023-02-10 15:42:00,Доставлено,106,204.83
4,5,10,"с. Стерлитамак, бул. Декабристов, д. 227 стр. 4/5, 942902",ЖД,ЭкспрессДоставка,2023-11-11 01:17:00,2023-11-11 05:17:00,Доставлено,344,272.21
5,6,2,"д. Сусуман, ул. Высоцкого, д. 4 стр. 34, 288145",Авиа,ТрансЛогистик,2023-11-19 23:04:00,2023-11-20 10:04:00,Доставлено,696,589.83
6,8,10,"г. Буденновск, бул. Ленинский, д. 3, 900842",Авиа,ЛогистикПро,2023-10-26 19:41:00,2023-10-27 03:41:00,Доставлено,586,634.86
7,9,5,"п. Инта, пр. Малиновый, д. 99, 734278",Авиа,ТрансЛогистик,2023-01-27 03:23:00,2023-01-29 05:23:00,Доставлено,159,214.89
8,10,8,"г. Черемхово, пер. 40 лет Победы, д. 69 стр. 5, 970298",Авиа,ЭкспрессДоставка,2023-05-19 01:57:00,2023-05-21 10:57:00,Доставлено,251,456.45
9,11,8,"с. Раменское, бул. Пролетарский, д. 131 к. 26, 269919",Грузовик,ЛогистикПро,2023-08-16 00:18:00,2023-08-18 10:18:00,Доставлено,761,1243.55
10,12,9,"п. Середниково, наб. Тополиная, д. 8/7 к. 54, 202853",Авиа,ЭкспрессДоставка,2023-01-31 01:28:00,2023-01-31 11:28:00,Доставлено,784,1394.19
11,13,10,"к. Амдерма, наб. Хвойная, д. 8, 341553",Морской,ТрансЛогистик,2023-07-30 22:08:00,2023-07-31 14:08:00,Доставлено,368,502.55
12,14,6,"г. Игарка, пер. Проточный, д. 3 стр. 1/9, 092389",Грузовик,ЛогистикПро,2023-06-26 03:35:00,2023-06-27 09:35:00,Доставлено,814,805.82
