,cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
1331,198.09,108,6,1,VIP,Физическое лицо,Одежда,Женская,Новосибирск,Новосибирск,Розничный,2023-01-01 10:56:00,2023-01-01 16:56:00,0.33,Зима,Зима
3882,809.59,925,37,8,B2C,Физическое лицо,Электроника,Компьютеры,Новосибирск,Екатеринбург,Розничный,2023-01-01 14:23:00,2023-01-03 03:23:00,40.0,Зима,Зима
218,1093.28,826,61,9,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Краснодар,Розничный,2023-01-01 14:25:00,2023-01-04 03:25:00,2.25,Зима,Зима
1117,170.22,309,29,5,B2C,Физическое лицо,Электроника,Компьютеры,Казань,Калининград,Оптовый,2023-01-01 16:31:00,2023-01-02 21:31:00,50.0,Зима,Зима
3945,827.92,781,61,4,B2C,Физическое лицо,Одежда,Мужская,Москва,Москва,Розничный,2023-01-01 19:39:00,2023-01-04 08:39:00,2.8,Зима,Зима
2352,415.66,229,66,7,VIP,Физическое лицо,Одежда,Женская,Казань,Краснодар,Розничный,2023-01-02 01:32:00,2023-01-04 19:32:00,2.1,Зима,Зима
1672,265.72,418,23,3,B2B,Физическое лицо,Электроника,Компьютеры,Москва,Владивосток,Розничный,2023-01-02 08:58:00,2023-01-03 07:58:00,15.0,Зима,Зима
719,136.96,270,55,1,B2C,Физическое лицо,Одежда,Мужская,Сочи,Санкт-Петербург,Розничный,2023-01-02 09:09:00,2023-01-04 16:09:00,0.5,Зима,Зима
197,1087.59,893,67,4,B2C,Физическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Оптовый,2023-01-02 13:36:00,2023-01-05 08:36:00,1.2,Зима,Зима
1118,170.46,119,61,2,B2C,Физическое лицо,Одежда,Женская,Казань,Екатеринбург,Розничный,2023-01-02 14:33:00,2023-01-05 03:33:00,0.66,Зима,Зима
1743,280.94,418,40,10,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Розничный,2023-01-02 15:18:00,2023-01-04 07:18:00,35.0,Зима,Зима
3113,592.31,337,24,5,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Екатеринбург,Розничный,2023-01-02 15:52:00,2023-01-03 15:52:00,1.25,Зима,Зима
2909,538.59,896,64,8,B2B,Юридическое лицо,Бытовая техника,Малая техника,Сочи,Владивосток,Розничный,2023-01-02 18:51:00,2023-01-05 10:51:00,72.0,Зима,Зима
2266,395.91,368,30,8,VIP,Юридическое лицо,Одежда,Женская,Санкт-Петербург,Владивосток,Розничный,2023-01-02 18:56:00,2023-01-04 00:56:00,2.4,Зима,Зима
3201,614.22,543,18,3,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Владивосток,Розничный,2023-01-02 21:11:00,2023-01-03 15:11:00,0.51,Зима,Зима
131,1053.27,748,68,10,B2B,Юридическое лицо,Одежда,Унисекс,Москва,Нижний Новгород,Розничный,2023-01-02 21:33:00,2023-01-05 17:33:00,6.0,Зима,Зима
3472,689.69,827,70,8,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-02 23:06:00,2023-01-05 21:06:00,2.0,Зима,Зима
2947,548.41,711,52,7,B2B,Физическое лицо,Одежда,Женская,Казань,Новосибирск,Оптовый,2023-01-03 03:33:00,2023-01-05 07:33:00,2.31,Зима,Зима
1076,1647.86,898,45,4,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Розничный,2023-01-03 03:57:00,2023-01-05 00:57:00,14.0,Зима,Зима
1576,247.89,318,20,1,B2C,Физическое лицо,Одежда,Мужская,Москва,Владивосток,Розничный,2023-01-03 05:00:00,2023-01-04 01:00:00,0.7,Зима,Зима
3888,81.49,73,9,7,B2C,Физическое лицо,Одежда,Женская,Новосибирск,Владивосток,Розничный,2023-01-03 05:16:00,2023-01-03 14:16:00,2.31,Зима,Зима
115,1045.65,613,17,7,B2C,Юридическое лицо,Одежда,Женская,Казань,Казань,Розничный,2023-01-03 05:17:00,2023-01-03 22:17:00,2.1,Зима,Зима
2188,375.38,692,18,3,B2C,Юридическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Краснодар,Розничный,2023-01-03 05:37:00,2023-01-03 23:37:00,52.5,Зима,Зима
